cluster,treated_group,period,post,mean_outcome
1,1,1,0,42.91
1,1,2,0,43.26
1,1,3,0,41.69
1,1,4,0,40.27
1,1,5,1,39.58
1,1,6,1,33.98
1,1,7,1,33.05
1,1,8,1,39.17
2,1,1,0,56.88
2,1,2,0,58.17
2,1,3,0,55.13
2,1,4,0,63.1
2,1,5,1,52.73
2,1,6,1,50.62
2,1,7,1,48.85
2,1,8,1,58.78
3,1,1,0,45.58
3,1,2,0,47.68
3,1,3,0,50.56
3,1,4,0,48.85
3,1,5,1,41.09
3,1,6,1,44.99
3,1,7,1,46.26
3,1,8,1,51.69
4,1,1,0,35.54
4,1,2,0,33.52
4,1,3,0,40.81
4,1,4,0,45.06
4,1,5,1,37.3
4,1,6,1,36.46
4,1,7,1,34.14
4,1,8,1,41.2
5,1,1,0,49.18
5,1,2,0,42.81
5,1,3,0,46.52
5,1,4,0,43.73
5,1,5,1,38.0
5,1,6,1,35.99
5,1,7,1,42.86
5,1,8,1,39.13
6,1,1,0,39.91
6,1,2,0,44.05
6,1,3,0,44.97
6,1,4,0,48.93
6,1,5,1,41.28
6,1,6,1,45.55
6,1,7,1,42.46
6,1,8,1,47.33
7,1,1,0,45.06
7,1,2,0,49.82
7,1,3,0,48.09
7,1,4,0,40.54
7,1,5,1,45.39
7,1,6,1,42.65
7,1,7,1,48.0
7,1,8,1,40.7
8,1,1,0,34.1
8,1,2,0,40.35
8,1,3,0,45.1
8,1,4,0,40.83
8,1,5,1,43.58
8,1,6,1,43.37
8,1,7,1,40.41
8,1,8,1,41.74
9,1,1,0,43.0
9,1,2,0,42.15
9,1,3,0,46.49
9,1,4,0,47.98
9,1,5,1,45.38
9,1,6,1,41.57
9,1,7,1,44.38
9,1,8,1,43.34
10,1,1,0,34.53
10,1,2,0,37.32
10,1,3,0,36.9
10,1,4,0,34.62
10,1,5,1,32.68
10,1,6,1,33.59
10,1,7,1,36.4
10,1,8,1,35.89
11,1,1,0,45.08
11,1,2,0,48.21
11,1,3,0,46.66
11,1,4,0,51.31
11,1,5,1,41.13
11,1,6,1,49.39
11,1,7,1,46.77
11,1,8,1,44.63
12,1,1,0,50.29
12,1,2,0,50.04
12,1,3,0,57.72
12,1,4,0,59.96
12,1,5,1,47.66
12,1,6,1,47.13
12,1,7,1,53.05
12,1,8,1,46.52
13,1,1,0,47.5
13,1,2,0,44.64
13,1,3,0,48.76
13,1,4,0,48.55
13,1,5,1,40.1
13,1,6,1,45.92
13,1,7,1,45.41
13,1,8,1,47.34
14,1,1,0,40.19
14,1,2,0,40.04
14,1,3,0,46.59
14,1,4,0,41.6
14,1,5,1,33.43
14,1,6,1,38.46
14,1,7,1,33.8
14,1,8,1,35.56
15,1,1,0,39.99
15,1,2,0,39.09
15,1,3,0,40.6
15,1,4,0,45.62
15,1,5,1,27.68
15,1,6,1,34.05
15,1,7,1,38.75
15,1,8,1,38.2
16,0,1,0,55.39
16,0,2,0,59.09
16,0,3,0,58.27
16,0,4,0,60.43
16,0,5,1,59.84
16,0,6,1,58.96
16,0,7,1,63.71
16,0,8,1,59.58
17,0,1,0,40.96
17,0,2,0,42.63
17,0,3,0,49.25
17,0,4,0,42.62
17,0,5,1,48.01
17,0,6,1,43.99
17,0,7,1,51.33
17,0,8,1,50.55
18,0,1,0,31.81
18,0,2,0,39.36
18,0,3,0,38.19
18,0,4,0,42.43
18,0,5,1,41.81
18,0,6,1,44.02
18,0,7,1,45.38
18,0,8,1,46.78
19,0,1,0,50.89
19,0,2,0,48.39
19,0,3,0,46.03
19,0,4,0,48.18
19,0,5,1,46.95
19,0,6,1,52.74
19,0,7,1,53.94
19,0,8,1,54.39
20,0,1,0,48.15
20,0,2,0,48.63
20,0,3,0,51.7
20,0,4,0,58.89
20,0,5,1,55.63
20,0,6,1,53.76
20,0,7,1,56.19
20,0,8,1,60.15
21,0,1,0,40.2
21,0,2,0,47.37
21,0,3,0,51.4
21,0,4,0,50.33
21,0,5,1,46.83
21,0,6,1,48.21
21,0,7,1,53.07
21,0,8,1,55.28
22,0,1,0,49.66
22,0,2,0,52.48
22,0,3,0,50.08
22,0,4,0,49.81
22,0,5,1,50.05
22,0,6,1,55.73
22,0,7,1,49.1
22,0,8,1,54.13
23,0,1,0,49.96
23,0,2,0,54.28
23,0,3,0,47.46
23,0,4,0,56.44
23,0,5,1,59.62
23,0,6,1,66.26
23,0,7,1,63.67
23,0,8,1,65.7
24,0,1,0,39.37
24,0,2,0,39.02
