week,cases,reported_within_7d
1,8,7
2,7,5
3,9,8
4,8,7
5,8,6
6,7,6
7,9,7
8,6,5
9,9,7
10,7,6
11,8,6
12,6,6
13,6,6
14,2,2
15,6,5
16,10,8
17,8,7
18,8,6
19,10,9
20,4,3
21,9,7
22,4,3
23,7,6
24,4,4
25,7,6
26,3,3
27,2,2
28,7,7
29,2,2
30,6,6
31,7,7
32,0,0
33,2,2
34,5,4
35,2,2
36,4,3
37,5,4
38,6,5
39,0,0
40,0,0
41,0,0
42,2,2
43,2,2
44,0,0
45,1,1
46,5,5
47,3,3
48,5,4
49,0,0
50,5,4
51,3,3
52,1,1
53,3,3
54,6,6
55,6,5
56,6,6
57,5,5
58,7,6
59,7,6
60,12,9
61,7,7
62,7,6
63,10,8
64,9,8
65,7,6
66,9,8
67,11,8
68,7,6
69,7,6
70,11,8
71,11,10
72,25,23
73,27,26
74,24,22
75,24,22
76,23,18
77,6,5
78,5,5
79,3,2
80,6,5
81,6,5
82,5,5
83,0,0
84,4,3
85,1,1
86,2,2
87,3,3
88,0,0
89,3,3
90,0,0
91,3,3
92,0,0
93,2,2
94,1,1
95,1,1
96,2,2
97,4,3
98,5,4
99,4,4
100,1,1
101,3,3
102,4,3
103,6,6
104,8,7
